"Choose website", "Choose website"
"All news mixed", "All news mixed"
"news_fi", "Finnish news"
"news_en", "English news"

"Previous page", "Previous page"
"Refresh", "Refresh"
"Source", "Source"
"Close", "Close"

"No articles found", "No articles found"
"Loading article failed", "Loading article failed"
"More news", "More news"

"Page not found", "Page not found"

"Collection", "Collection"
"Weather", "Weather"

"Settings", "Settings"
"Settings reseted succesfully", "Settings reseted succesfully"
"Settings succesfully saved", "Settings succesfully saved"
"Saving settings failed", "Saving settings failed"
"Save", "Save"

"Language", "Language"
"en", "English"
"fi", "Finnish"

"Theme", "Theme"
"Gray", "Gray"
"Pink", "Pink"
"Black", "Black"
"Yellow", "Yellow"
"Blue", "Blue"
"Green", "Green"

"Websites in news collection", "Websites in news collection"

"Limit number of titles", "Limit number of titles"
"No limit", "No limit"

"Reset settings to default", "Reset settings to default"
"Reset", "Reset"

"Update XML configuration", "Update XML configuration"
"XML configuration updated successfully", "XML configuration updated successfully"

"Statistics", "Statistics"
"Page loads", "Page loads"
"Unique visitors", "Unique visitors"
"Popularity by website", "Popularity by website"

"Send feedback", "Send feedback"
"Feedback succesfully sent", "Feedback succesfully sent"
"Sending feedback failed", "Sending feedback failed"
"Choose feedback type", "Choose feedback type"
"New website", "New website"
"Report a bug", "Report a bug"
"Other", "Other"
"Email", "Email"
"Feedback", "Feedback"
"Send", "Send"
"Feedbacks", "Feedbacks"
"feedbacks total", "feedbacks total"
"Page", "Page"
"Delete feedbacks", "Delete feedbacks"
"Delete selected", "Delete selected"
"Delete current page", "Delete current page"
"Delete all", "Delete all"
"Delete", "Delete"
"unread feedbacks", "unread feedbacks"
"feedbacks deleted", "feedbacks deleted"

"Admin login", "Admin login"
"Admin panel", "Admin panel"
"Password", "Password"
"Login", "Login"
"Log out", "Log out"
"Logged in successfully", "Logged in successfully"
"Logged out", "Logged out"
"Maximum limit of login attempts reached", "Maximum limit of login attempts reached"
"Incorrect password", "Incorrect password"

"Clear website data", "Clear website data"
"Website(s) data successfully cleared", "Website(s) data successfully cleared"
"Update theme cache", "Update theme cache"
"Theme cache updated successfully", "Theme cache updated successfully"
"Clear", "Clear"

"Clear FPC", "Clear FPC"
"Full page cache cleared", "Full page cache cleared"
