"Choose website", "Choose website"

"Previous page", "Previous page"
"Refresh", "Refresh"
"Source", "Source"

"Loading article failed", "Loading article failed"

"Page not found", "Page not found"

"Settings", "Settings"
"Settings succesfully saved", "Settings succesfully saved"
"Saving settings failed", "Saving settings failed"
"Save", "Save"

"Language", "Language"
"en", "English"
"fi", "Finnish"

"Background color", "Background color"
"Grey", "Grey"
"Pink", "Pink"
"Black", "Black"
"Yellow", "Yellow"
"Blue", "Blue"
"Green", "Green"
